category,name,specialty,contact,location,languages,cost,notes,availability
directory,Therapists in India Mastersheet,Therapist Database,https://docs.google.com/spreadsheets/d/1HVZ-bUJgU_96a6JAbkZj1wcQe3MBIr-Fvmw-dcOEpyU/edit?gid=971555028#gid=971555028,Pan-India,"Hindi, English, Regional",Flexible,Comprehensive therapist list,Appointment-based
therapy,Kriti Jain,Trauma;Relationship Concerns;Work-life Concerns,8452960463,Online,"English, Hindi",Flexible,Adults;Corporate professionals	,Appointment-based
therapy,Dr. Ambrish Dharmadhikari,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Sexuality and gender orientation related issues, Sexual and reproductive health related concerns, Trauma, Child Sexual Abuse, Mental Illness, Relationship Concerns, Work-life Concerns, Academic and Career Related Issues	",7208109965,Online,"English, Marathi",Flexible,"Children, Adolescents and young people, Adults, Couples, Families, Older adults, Individuals who identify as LGBTQIA+, Corporate professionals	",Mon-Sun
therapy,Sunil Punjabi,Mental Illness;Relationship Concerns;Work-life Concerns;Depression,9892546024,Mumbai,"English, Hindi",Flexible,Adolescents and young people;Adults;Couples;Older adults;Corporate professionals,Mon-Sun: 9AM-9PM
therapy,Dr Anjali Deshpande,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Violence against women, Substance and habitual addictions, Mental Illness, Relationship Concerns, Work-life Concerns, Parenting Concerns",25360935,Mumbai,"English, Hindi, Marathi",Flexible,"Children, Adolescents and young people, Adults, Couples, Families, Corporate professionals","Mon, Wed, Fri: 5PM-7PM"
therapy,Mrs. Jasmine Khattar,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Sexuality and gender orientation related issues, Trauma, Child Sexual Abuse, Mental Illness, Relationship Concerns, Work-life Concerns, Academic and Career Related Issues, Parenting Concerns",9820323769,Mumbai,"English, Hindi, Punjabi, Marathi",Flexible,"Children, Adolescents and young people, Adults, Couples, Families, Individuals who identify as LGBTQIA+, Corporate professionals",Mon-Sat: 9AM-7PM
therapy,Dr. Minnu Bhosle,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Violence against women, Sexual and reproductive health related concerns, Trauma, Child Sexual Abuse, Mental Illness, Relationship Concerns, Work-life Concerns, Academic and Career Related Issues, Parenting Concerns	",2223755866,Mumbai,"English, Hindi, Marathi        ",Flexible,"Children, Adolescents and young people, Adults, Couples, Families, Individuals who identify as LGBTQIA+, Corporate professionals",Mon-Fri
therapy,Invisible Illness	,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Violence against women, Sexual and reproductive health related concerns, Trauma, Child Sexual Abuse, Mental Illness, Relationship Concerns, Work-life Concerns, Academic and Career Related Issues, Parenting Concerns	",22266009847,Mumbai,"English, Hindi, Gujarati, Marathi        ",Flexible,"Children, Adolescents and young people, Adults, Couples, Families, Individuals who identify as LGBTQIA+, Corporate professionals",Mon-Fri
therapy,Devika Kapoor	,Violence against women;Sexuality and gender orientation related issues;Sexual and reproductive health related concerns;Substance and habitual addictions;Trauma;Mental Illness;Relationship Concerns;Work-life Concerns	,9619046437,Mumbai,"English, Hindi	",Flexible,Adolescents and young people;Adults;Couples;Families;Individuals who identify as LGBTQIA+;Corporate professionals	,Mon-Sun
therapy,Tanvi Gangavali - Mind & Me Mental Health Services	,"Special needs (Children with physical. emotional, behavioural and learning difficulties);Violence against women;Sexuality and gender orientation related issues;Sexual and reproductive health related concerns;Substance and habitual addictions;Trauma;Child Sexual Abuse;Mental Illness;Relationship Concerns;Work-life Concerns;Academic and Career Related Issues;Parenting Concerns        ",8879565156,Mumbai,"English, Hindi, Kannada, Marathi	",Flexible,Children;Adolescents and young people;Adults;Couples;Families;Older adults;Individuals who identify as LGBTQIA+;Corporate professionals	,Mon-Sat: 8 am to 11 am 2pm to 4pm	
therapy,Devanshi Rao	,"Violence against women, Trauma, Relationship Concerns, Work-life Concerns, Academic and Career Related Issues, Parenting Concerns	",9972879380,Mumbai,"English, Hindi, Marathi        ",Flexible,"Adolescents and young people, Adults, Families	",Mon-Fri: 2 PM - 7 PM
therapy,Dr Ajish Mangot	,"Substance and habitual addictions, Mental Illness	",9145042715,Pune,"English, Hindi, Marathi, Malayalam	",Free,"Adolescents and young people, Adults, Couples, Families, Older adults	","9am to 1pm & 3pm to 5pm (Monday to Friday);
9am to 1pm (Saturday)"
therapy,Dr Vasantmeghna Murthy	,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Violence against women, Sexual and reproductive health related concerns, Substance and habitual addictions, Mental Illness, Relationship Concerns, Work-life Concerns	",9145042571,Pune,"English, Hindi, Marathi, Telugu, Tamil	",Free,"Children, Adolescents and young people, Adults, Couples, Families, Older adults	",9AM- 5PM (Monday to Friday); 9AM - 1PM (Saturday)	
therapy,Ms.Sneha Satheendran	,Mental Illness;Relationship Concerns	,919975885473,"Pune, Bangalore","English, Hindi",Flexible,Adolescents and young people;Adults	,Mon-Sat: 10 AM - 4 PM
therapy,Ummang Sharma Bajpai	,Sexuality and gender orientation related issues;Sexual and reproductive health related concerns;Substance and habitual addictions;Trauma;Mental Illness;Relationship Concerns;Work-life Concerns;Academic and Career Related Issues;Parenting Concerns	,7428033263,Delhi,"English, Hindi",Flexible,Adults;Individuals who identify as LGBTQIA+	,Mon-Sun: 8AM - 8PM
therapy,Dr. Pratap Sharan	,"Special needs (Children with physical. emotional, behavioural and learning difficulties);Violence against women;Sexuality and gender orientation related issues;Sexual and reproductive health related concerns;Substance and habitual addictions;Trauma;Child Sexual Abuse;Mental Illness;Relationship Concerns;Work-life Concerns;Academic and Career Related Issues;Parenting Concerns	",https://www.aiims.edu/en/2014-12-12-06-32-00/psychiatry_faculty.html?id=1142	,Delhi,"English, Hindi",Free,Children;Adolescents and young people;Adults;Couples;Families;Older adults;Individuals who identify as LGBTQIA+;Corporate professionals	,Fri: 10 AM - 2 PM
therapy,Anita Rajah	,"Special needs (Children with physical. emotional, behavioural and learning difficulties);Mental Illness;Work-life Concerns;Academic and Career Related Issues	",949-598-5180	,Delhi,"English, Malayalam, Hindi	",Flexible,Children;Adolescents and young people;Adults;Older adults	,Mon-Sat
therapy,Dr. Mansi Arya	,"Special needs (Children with physical. emotional, behavioural and learning difficulties);Violence against women;Sexuality and gender orientation related issues;Sexual and reproductive health related concerns;Substance and habitual addictions;Trauma;Child Sexual Abuse;Mental Illness;Relationship Concerns;Work-life Concerns	",9990043020,Delhi,"English, Hindi",Flexible,Children;Adolescents and young people;Adults;Couples;Families;Older adults;Individuals who identify as LGBTQIA+;Corporate professionals	,Mon-Sun: 10:30 AM - 6:30 PM
therapy,Dr Hema Tharoor	,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Mental Illness, Academic and Career Related Issues	",9500080741,Chennai	,"English, Tamil, Telugu        ",Flexible,"Children, Adolescents and young people, Adults, Couples, Families, Older adults	",Mon-Fri
therapy,Porrselvi A.P.	,"Trauma;Brain injury, dementia	",9047452258,Chennai	,"English, Tamil        ",Flexible,Adults;Older adults	,Mon-Fri
therapy,Thilagavathi,Mental Illness;Relationship Concerns;Work-life Concerns;Parenting Concerns	,99401 83410	,Chennai,"English, Tamil        ",Flexible,Adolescents and young people;Adults;Couples;Families;Older adults	,Mon-Sat: 6PM-9PM
therapy,Dr Arghya Pal,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Sexuality and gender orientation related issues, Sexual and reproductive health related concerns, Substance and habitual addictions, Trauma, Child Sexual Abuse, Mental Illness	",9674417987,West Bengal,"English, Hindi, Bengali        ",Flexible,"Children, Adolescents and young people, Adults	",Mon-Fri: 7 PM - 9 PM
therapy,Dr.Nupur Guha Ray	,"Special needs (Children with physical. emotional, behavioural and learning difficulties), Violence against women, Sexuality and gender orientation related issues, Substance and habitual addictions, Trauma, Child Sexual Abuse, Mental Illness, Relationship Concerns, Work-life Concerns, Academic and Career Related Issues, Parenting Concerns	",9331297260,"West Bengal, Online","English, Hindi, Bengali        ",Flexible,"Children, Adolescents and young people, Adults, Couples, Families, Older adults	","Tuesday, Thursday, Saturday: 10am-1pm and 6pm to 9 pm	"
therapy,Dr. Prabha Chandra,"Mental Illness, Gender-based violence, Prenatal mental health	",9880383057,Bangalore,"Hindi, English, Kannada        ",Free,"Adolescents and young people;Adults, Women	",Mon-Sat: 8 AM - 6:30 PM
therapy,Dr. Mahesh R Gowda	,Mental Illness	,9035560000,Bangalore,"Kannada, English, Hindi	",Flexible,"Adolescents and young people, Adults, Couples, Older adults	",Mon-Sat: 1pm - 7pm
therapy,Rohini Rajeev	,"Sexual and reproductive health related concerns, Trauma, Child Sexual Abuse, Mental Illness, Relationship Concerns, Work-life Concerns, Parenting Concerns	",8892041947,"Bangalore, Online","Malayalam, Hindi, Tamil, Kannada, English	",Flexible,"Adolescents and young people, Adults, Couples, Families, Older adults, Corporate professionals	",Mon-Fri
therapy,Sahiti Gavarikar,Sexuality and gender orientation related issues;Relationship Concerns;Work-life Concerns	,sahitigavarikar@gmail.com	,Bangalore,English,Free,Adolescents and young people;Adults;Individuals who identify as LGBTQIA+	,Monday;Tuesday;Wednesday;Thursday;Saturday: 4 PM - 6 PM
therapy,Dr. Bhuvaneshwari	,Mental Illness;Relationship Concerns;Work-life Concerns	,8022065460,Bangalore,"English, Kannada	",Flexible,Adolescents and young people;Adults	,"Wed, Sat: 9 AM - 4 PM"
therapy,Ms.Sneha Satheendran	,Mental Illness;Relationship Concerns	,99758 85473        ,"Bangalore, Online","English, Hindi	",Flexible,Adolescents and young people;Adults	,Mon-Sat: 10 AM - 4 PM
